	"DRR357080"	"DRR357081"	"DRR357082"	"DRR357083"	"DRR357084"
"ENSG00000011347"	1921.00	1848.00	830.00	969.00	1199.00
"ENSG00000011376"	486.00	500.00	468.00	506.00	598.00
"ENSG00000011405"	2494.00	2533.02	1971.02	1926.00	2681.05
"ENSG00000011422"	219.00	220.00	188.00	202.00	256.00
"ENSG00000011426"	8051.00	8213.00	5860.00	6488.00	7725.00
"ENSG00000011451"	1747.00	1819.00	1590.00	1821.00	2236.00
"ENSG00000011454"	3941.00	4123.00	2651.02	2909.00	3641.00
"ENSG00000011465"	40.00	32.00	2.00	6.00	3.00
"ENSG00000011478"	231.05	210.00	264.00	283.00	324.00
"ENSG00000011485"	1567.00	1538.00	1507.00	1701.00	1998.00
"ENSG00000011523"	646.98	713.47	433.00	491.05	688.06
"ENSG00000011566"	568.00	624.00	438.00	499.00	595.00
"ENSG00000011590"	0.00	0.00	0.00	2.00	1.00
"ENSG00000011600"	0.00	0.00	0.00	0.00	0.00
"ENSG00000011638"	1014.00	1041.00	723.00	671.00	906.00
"ENSG00000011677"	2.00	3.00	3.00	6.00	0.00
"ENSG00000012048"	1613.24	1613.23	1400.00	1501.00	1793.00
"ENSG00000012061"	1497.00	1542.00	1086.00	1274.00	1611.05
"ENSG00000012124"	7.00	3.00	3.00	6.00	8.00
"ENSG00000012171"	84.00	70.00	58.00	65.00	97.00
"ENSG00000012174"	463.27	512.33	532.25	615.88	706.91
"ENSG00000012211"	1371.00	1445.00	1123.00	1241.00	1577.00
"ENSG00000012223"	0.00	0.00	0.00	0.00	0.00
"ENSG00000012232"	1785.00	1911.78	1702.01	1947.17	2311.01
"ENSG00000012504"	1.00	0.00	0.00	0.00	0.00
"ENSG00000012660"	1041.00	904.00	802.00	901.00	923.00
"ENSG00000012779"	42.00	35.00	16.00	11.00	18.00
"ENSG00000012817"	1.00	5.00	2.00	1.00	0.00
"ENSG00000012822"	2238.00	2135.00	1071.00	1142.00	1774.00
"ENSG00000012963"	1238.00	1297.00	1221.92	1324.00	1519.00
"ENSG00000012983"	1228.00	1254.00	1365.00	1418.00	1738.00
"ENSG00000013016"	53.00	56.00	66.00	61.00	60.00
"ENSG00000013275"	1273.00	1336.00	1471.00	1763.00	2025.00
"ENSG00000013288"	1091.00	1037.00	686.03	772.00	986.00
"ENSG00000013293"	0.00	1.97	0.00	1.00	1.78
"ENSG00000013297"	11.00	5.00	2.00	12.00	7.00
"ENSG00000013306"	2783.00	2917.00	2714.00	3039.00	3570.00
"ENSG00000013364"	6488.00	6557.00	3520.00	3942.93	5304.69
"ENSG00000013374"	1340.00	1350.84	1004.00	1148.00	1508.00
"ENSG00000013375"	647.08	606.00	599.93	644.00	791.00
"ENSG00000013392"	95.00	91.00	76.00	70.00	110.01
"ENSG00000013441"	837.00	733.00	497.00	532.00	748.00
"ENSG00000013503"	380.00	376.00	365.00	382.00	417.00
"ENSG00000013523"	384.75	445.81	570.04	615.98	711.20
"ENSG00000013561"	422.11	456.06	424.56	446.45	544.01
"ENSG00000013563"	368.03	360.00	285.00	349.00	464.05
"ENSG00000013573"	1838.85	1718.06	1813.11	2043.22	2404.47
"ENSG00000013583"	1081.00	1123.00	878.00	922.00	1054.00
"ENSG00000013588"	17446.00	17256.57	6843.00	7334.00	10232.00
"ENSG00000013619"	13.00	12.00	19.00	12.00	18.00
"ENSG00000013725"	4.00	3.00	1.00	3.00	1.00
"ENSG00000013810"	2591.00	2512.00	1921.00	2195.00	2628.00
"ENSG00000014123"	988.00	1006.00	805.00	921.00	1113.00
"ENSG00000014138"	876.43	924.39	977.23	1135.76	1283.35
